Compound name (unique),Compound name(synonyms),HMDB,KEGG,HMT ID,InChIKey
Pimelic acid,"Pimelic acid;pimelic acid;Heptanedioic acid;1,5-Pentanedicarboxylic acid;Pileric acid;Heptandioic acid;Heptane-1,7-dioic acid;6-carboxyhexanoate;pimelate;1,7-Heptanedioic acid;heptanedioate;6-carboxyhexanoic acid;Pimelic Acids;HEPTANEDIOIC-2,2,6,6-D4 ACID;Heptandioate;Pilerate;Pentane-1,5-dicarboxylic acid;pimelic acid group;1,7-Heptanedioate;Heptane-1,7-dioate",HMDB0000857,C02656,M00723,
Pregnenolone,"Pregnenolone;pregnenolone;3beta-Hydroxypregn-5-en-20-one;Arthenolone;Pregnetan;Pregneton;Pregnolon;Prenolon;Regnosone;Skinostelon;5-Pregnen-3beta-ol-20-one;Enelone;Natolone;Bina-Skin;delta5-Pregnenolone;5-Pregnen-3-beta-ol-20-one;(3BETA)-3-HYDROXYPREGN-5-EN-20-ONE;5-Pregnenolone;3-beta-Hydroxypregn-5-en-20-one;UNII-73R90F7MQ8;3beta-Hydroxy-5-pregnen-20-one;Pregn-5-en-20-one, 3-hydroxy-, (3beta)-;Pregn-5-en-20-one, 3-hydroxy-, (3b)-;5-Pregnen-3beta;-ol-20-one;Pregnenolona;Pregnenolonum;Pregnenolone (3beta-Hydroxypregn-5-en-20-one);3-Hydroxypregn-5-en-20-one;5-Pregnen-3.beta.-ol-20-one;Pregnolone;3.beta.-Hydroxypregn-5-en-20-one;Pregn-5-en-20-one, 3-hydroxy-, (3-beta)-;Pregn-5-en-20-one, 3.beta.-hydroxy-;Pregn-5-en-20-one, 3beta-hydroxy-;Pregn-5-en-20-one, 3-beta-hydroxy-;5-Pregnen-3b-ol-20-one;Pregn-5-en-3b-ol-20-one;Pregn-5-ene-3b-ol-20-one;3b-Hydroxy-5-pregnen-20-one;3b-Hydroxypregn-5-en-20-one;Delta5-Pregnene-3beta-ol-20-one;3-Hydroxypregn-5-en-20-one, (3.beta.)-;3.beta.-Hydroxy-.DELTA.5-pregnen-20-one;(3alpha,8alpha)-3-hydroxypregn-5-en-20-one;17beta-[1-Ketoethyl]-Delta5-androsten-3beta-ol;Pregn-5-en-20-one, 3-hydroxy-, (3.beta.)-",HMDB0000253,C01953,,
Pregnenolone sulfate,Pregnenolone sulfate;pregnenolone sulfate;5-Pregnen-3beta-ol-20-one sulfate;Pregnenolone monosulfate;(3beta)-3-(sulfooxy)pregn-5-en-20-one;3beta-Hydroxypregn-5-en-20-one sulfate;20-oxopregn-5-en-3beta-yl sulfate;Pregn-sulf;pregnenolone sulphate;[3H]pregnenolone sulphate;[3H]-pregnenolone sulfate;Pregnenolone 3beta-sulfate;3beta-sulfoxypregn-5-en-20-one;5-Pregnen-3beta-sulfate-20-one;20-Oxo-5-pregnen-3beta-yl sulfate;20-Oxopregn-5-en-3-yl hydrogen sulfate;Pregn-5-en-20-on-3beta-yl sulfuric acid;pregn-5-en-3beta-ol-20-one-3beta-sulfate;20-oxopregn-5-en-3beta-yl hydrogen sulfate;3beta-Hydroxy-5-pregnen-20-one monosulfate,NA,C18044,,DIJBBUIOWGGQOP-QGVNFLHTSA-N
Progesterone,"Progesterone;progesterone;Pregn-4-ene-3,20-dione;Agolutin;Luteohormone;Crinone;4-Pregnene-3,20-dione;Corpus luteum hormone;Syngesterone;Utrogestan;Luteol;Glanducorpin;Pregnenedione;Progesterol;Syngestrets;Corlutin;Cyclogest;Gesterol;Gestone;Gestormone;Progestin;Progestone;Progestron;Prometrium;Hormoflaveine;Methylpregnone;Progestasert;Progesteronum;Progestronol;Corlutina;Corluvite;Corporin;Flavolutan;Fologenon;Gynlutin;Gynolutone;Hormoluton;Lingusorbs;Lucorteum;Luteodyn;Luteogan;Luteopur;Luteosan;Luteostab;Luteovis;Lutociclina;Lutocyclin;Lutocylin;Lutoform;Lutromone;Membrettes;Nalutron;Piaponon;Primolut;Progekan;Progestosol;Prolidon;Proluton;Protormone;Syntolutan;Gestron;Lutidon;Lutogyl;Lutren;Prolets;Lutex;Luteal hormone;Lucorteum Sol;Bio-luton;Lutocyclin M;Lipo-Lutin;Luteocrin normale;Luteinique;Prochieve;Prolutone;Lutin;17alpha-Progesterone;Synovex S;Projestaject;Gynoluton;Percutacrine Luteinique;Cyclogesterin;Akrolutin;Prolutin;Pregnene-3,20-dione;(S)-Progesterone;Colprosterone;Endometrin;Progesteron;Progestogel;Progeston;3,20-Pregnene-4;Gelbkoerperhormon;Crinone progesterone gel;Gestiron;Lugesteron;Progestol;Lutocuclin M;.beta.-Progesterone;Percutacrine;(S)-4-Pregnene-3,20-dione;Progeffik;Utrogest;Vitarrine;Luteum;Delta(4)-pregnene-3,20-dione;(S)-Pregn-4-en-3,20-dione;Prontogest;Estima;17.alpha.-Progesterone;Pregn-4-en-3,20-dione;6alpha-Methylpregn-4-en-17alpha-ol-3,20-dione;.delta.4-Pregnene-3,20-dione;17alpha-Hydroxy-6alpha-methylpregn-4-ene-3,20-dione;Pregn-4-ene-3,20-dione, 17alpha-hydroxy-6alpha-methyl-;component of Cyclogesterin;DSSTox_CID_2370;6.alpha.-Methylpregn-4-en-17.alpha.-ol-3,20-dione;17.alpha.-Hydroxy-6.alpha.-methylpregn-4-ene-3,20-dione;Progesterona;Progestan;Progesterone (Prometrium);Pregn-4-ene-3, 17.alpha.-hydroxy-6.alpha.-methyl-;Duraprogen;Progestrel;Lipolutin;Lutinus;Lutogynon;delta4-Pregnene-3,20-dione;beta-Progesterone;progesterone group;delta(Sup4)-pregnene-3,20-dione;racemic progesterone;Hydroxyprogesterone Caproic acid",HMDB0001830,C00410,,
Protocatechuic acid,"Protocatechuic acid;3,4-DIHYDROXYBENZOIC ACID;protocatechuic acid;Protocatehuic acid;4-Carboxy-1,2-dihydroxybenzene;protocatechuate;Benzoic acid, 3,4-dihydroxy-;4,5-Dihydroxybenzoic acid;Catechol-4-carboxylic Acid;3, 4-Dihydroxybenzoic acid;3,4-dihydroxybenzoic acid (protocatechuic acid);Protocatechuic acid polymer;3,4-Dihydroxy Benzoic Acid;Hypogallic acid;b-Resorcylate;beta-Resorcylate;Protacatechuic Acid;Carbohydroquinonic acid;Protocatechuic Acid,(S);3,4-dihydroxy-benzoic acid;Pyrocatechol-4-carboxylic Acid;Oxidative polymer of protocatechuic acid",HMDB0001856,C00230,M03353,
Pterin,"Pterin;Pterin;2-Amino-4-hydroxypteridine;Pterine;Pteridoxamine;2-aminopteridin-4-ol;4-Oxopterin;2-aminopteridin-4(3H)-one;2-Amino-4-pteridone;4(1H)-Pteridinone, 2-amino-;2-Amino-1H-pteridin-4-one;2-Amino-4-oxopteridine;2-Amino-4(3H)-pteridinone;2-Amino-4(1H)-pteridinone;2-AMINO-4-HYDROXY-PTERIDINE;2-Amino-4-pteridinol;Quinonoid dihydropterin, 2-amino-;2-desaminoaminopterin;2-Aminopteridin-4-one;4-Oxo-2-aminopteridine;Oprea1_553855;2-amino-3H-pteridin-4-one;2-aminopteridin-4(1H)-one;2-DESAMINO-AMINOPTERIN;2-amino-Quinonoid dihydropterin;4(3H)-pteridinone, 2-amino-;2-amino-3,4-dihydropteridin-4-one;2-imino-1,2,3,4-tetrahydropteridin-4-one",HMDB0000802,C00715,M00718,
Pyridoxal 5'-phosphate,"Pyridoxal 5'-phosphate;pyridoxal phosphate;Codecarboxylase;pyridoxal 5-phosphate;pyridoxal 5'-phosphate;Pyridoxal P;Biosechs;Hairoxal;Pyromijin;Vitazechs;Pyridoxal-5'-phosphate;Pyridoxyl phosphate;(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methyl dihydrogen phosphate;Hiadelon;Pidopidon;Himitan;Phosphopyridoxal;Pal-P;Sechvitan;Pydoxal;Piodel;PYRIDOXAL-5-PHOSPHATE;Apolon B6;HI-Pyridoxin;pyridoxal-P;Phosphopyridoxal coenzyme;Vitahexin P;Hexermin P;853645-22-4;Coenzyme B6;Pyridoxal monophosphate;Pyridoxaldehyde phosphate;Apolon B(sub 6);PLP;Phosphoridoxal coenzyme;Pyridoxal 5'-phosphate hydrate;Pyridoxal 5'-(dihydrogen phosphate);pyridoxal-5P;Vitamin B6 phosphate;Vitahexin-P;Hexermin-P;Pyridoxal 5-monophosphoric acid ester;pyridoxal-phosphate;4-Pyridinecarboxaldehyde, 3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-;3-Hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde;Pyridoxal, 5-(dihydrogen phosphate);3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]-4-pyridinecarboxaldehyde;2-Methyl-3-hydroxy-4-formyl-5-hydroxymethylpyridine-5-calcium phosphate;4-pyridinecarboxaldehyde, 3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]-;3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate;Pyridoxal 5'-phosphate;Pyridoxyl phosphate;(4-Formyl-5-hydroxy-6-methyl(3-pyridyl))methyl dihydrogen phosphate;3-Hydroxy-2-methyl-5-([phosphonooxy]methyl)-4-pyridinecarboxaldehyde;(4-formyl-5-hydroxy-6-methyl-3-pyridyl)methyl dihydrogen phosphate;[(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methoxy]phosphonic acid;4-Pyridinecarboxaldehyde,3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]-;Pyridoxalphosphate;Sechvitan, Vitahexin P;Pyridoxal-5-monophosphate;Pyridoxal 5'-phosphate 5;Vitamin B6 phosphate (ester);Pyridoxal, 5-(dihydrogenphosphate);Pyridoxal  phosphate;P-5'-P;Pridoxal-5-Phosphate;pyridoxal 5''-phosphate;Pyridoxal 5'-phosphate monohydrate, vitamin B6;2-Methyl-3-hydroxy-4-formyl-5-hydroxymethylpyridine-5-calcium phosphate trihydrate;Pyridoxal phosphate anhydrous;Pyridoxal 5'-phosphoric acid;Pyridoxal 5 inverted exclamation marka-phosphate hydrate;Pyridoxal 5'-phosphate anhydrous;2-Methyl-3-hydroxy-4-formyl-5-pyridylmethylphosphoric acid;4-Formyl-5-hydroxy-6-methyl-pyridin-3-yl)methoxyphosphonic acid;Pyridoxal phosphate treated .beta.-lactoglobulin from bovine whey;(4-formyl-5-hydroxy-6-methyl-3-pyridinyl)methyl dihydrogen phosphate;pyridoxal 5''-(dihydrogen phosphate);Pyridoxal 5'-phosphate;Codecarboxylase;Isonicotinaldehyde, 5-(dihydrogen phosphate);3-hydroxy-2-methyl-5-([phosphonooxy]methyl)-4-pyridinecarbaldehyde;(4-methanoyl-6-methyl-5-oxidanyl-pyridin-3-yl)methyl dihydrogen phosphate",HMDB0001491,C00018,M00709,
Pyrophosphate,Pyrophosphate;Diphosphate,HMDB0000250,C00013,M02733,
Quinaldic acid,Quinaldic acid;2-Quinolinecarboxylic acid;Quinaldinic acid;2-Carboxyquinoline;2-Quinolinecarboxylate;2-Quinolinylcarboxylic acid;2-Quinoline carboxylic acid;2-quinaldic acid;2-quinoline-carboxylic acid;quinoline-2-carboxylic acid (quinaldic acid);Quinolinecarboxylic acid;2-quinolinecarbocylic acid;chinaldinsaure;Chinaldinsaeure;Quinaldinate;quinaldine acid;2-Chinolincarbonsaeure;2-Quinolinylcarboxylate;Quinolin-2-carboxylate;quinoline carboxylic acid;quinolinium-2-carboxylate;Quinolin-2-carboxylic acid;Quinoline-2-carboxylic acid anion;N-(4-chlorobenzyl)-1-(3-cyano-7-methoxyquinolin-4-yl)piperidine-4-carboxamide,HMDB0000842,C06325,M01229,
Quinone,"Quinone;p-benzoquinone;1,4-BENZOQUINONE;Benzoquinone;Quinone;p-Quinone;Chinone;cyclohexa-2,5-diene-1,4-dione;para-Benzoquinone;2,5-Cyclohexadiene-1,4-dione;Cyclohexadienedione;para-Quinone;1,4-Benzoquine;1,4-Dioxybenzene;Steara pbq;p-Chinon;1,4-Cyclohexadienedione;Benzo-chinon;Benzo-1,4-quinone;1,4-Diossibenzene;Chinon;1,4-Dioxy-benzol;1,4-Cyclohexadiene dioxide;Semiquinone anion;semiquinone radicals;Cyclohexadiene-1,4-dione;1,4-Benzochinon;Quinone1,4-Benzoquinone;1,4 benzoquinone;p-benzo-quinone;2,4-dione;2,5-cyclohexadiene-1-4-dione;3,6-Dioxo-1,4-cyclohexadiene-1-ide",HMDB0003364,C00472,,
Retinal,"Retinal;retinal;all-trans-Retinal;retinaldehyde;trans-Retinal;vitamin A aldehyde;retinene;axerophthal;all-E-Retinal;all trans-Retinal;all-trans-Retinaldehyde;all-trans-Vitamin A aldehyde;E-Retinal;Vitamin A1 aldehyde;Retinal, all-trans-;all-trans-Retinene;trans-Vitamin A aldehyde;(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenal;(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal;Retinyl aldehyde;TOCOPHEROL, ALPHA;Retinal, all-trans;Retinin;retinal group;Retinene1;all-trans retinal;retinal all-trans;tocopherol alpha-;All-trans-Vitamin-A-Aldehyde",HMDB0001358,C00376,,
Retinoic acid,"Retinoic acid;Retinoic acid;tretinoin;all-trans-Retinoic acid;Vitamin A acid;trans-Retinoic acid;ATRA;Airol;Retin-A;Vesanoid;Renova;All-trans Retinoic Acid;all-trans-Vitamin A acid;Dermairol;Aknoten;Aberel;Eudyna;Aknefug;Cordes vas;Epi-aberel;TRETINON;Tretin M;Atralin;all-trans-Vitamin A1 acid;all-trans-Tretinoin;Retionic acid;All Trans Retinoic Acid;Vitamin A1 acid, all-trans-;Retin-A Micro;beta-Retinoic acid;all-(E)-Retinoic acid;Vitamin A acid, all-trans-;Retinoate;Retinoic acid, all-trans-;Alltrans-retinoic acid;(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid;Retacnyl;Vesnaroid;Tretinoin, all-trans-;all trans-Retinoic acid;Retin A;Stieva-A;Tretinoine;Solage;all-trans-beta-Retinoic acid;Effederm;.beta.-Retinoic acid;3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid;(2E,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-enyl)nona-2,4,6,8-tetraenoic acid;2,4,6,8-Nonatetraenoic acid, 3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-, (all-E)-;Atragen;Retinova;15-Apo-beta-caroten-15-oic acid;Tretinoin (TN);beta-Ra;(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid;Tretinoinum;Aberela;Acnavit;Avitoin;Betarretin;Tretinoina;Tretinoino;A-Vitaminsyre;all-trans-b-Retinoic acid;trans-Retinoate;beta-Retinoate;cis-Retinoic acid;Refissa;Nexret;Vitamin a acid, trans-;3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenoic acid;3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;(11Z)-retinoic acid;[3H]Retinoic acid;Retinoic acid, cis-;(5E)-Retinoic acid;[3H]Vitamin A acid;Retinoic acid all trans;6-s-trans-retinoic acid;Vitamin-A-sA currencyure;Tretinoin - Retinoic Acid;trans-Retinoic acid|||Retinoid analogues",HMDB0001852,C00777,M03356,
Salsolinol,"Salsolinol;Salsolinol;S-(-)-Salsolinol;(S)-1,2,3,4-Tetrahydro-1-methyl-6,7-isoquinolinediol;(s)-1-methyl-6,7-dihydroxy-tetrahydroisoquinoline;(S)-1-Methyl-1,2,3,4-tetrahydroisoquinoline-6,7-diol;1,2,3,4-Tetrahydro-1-methyl-(S)-6,7-Isoquinolinediol;UNII-51619CO22Q component IBRKLUSXDYATLG-LURJTMIESA-N;(-)-1-Methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",HMDB0042012,C09642,M00812,
Selenomethionine,"Selenomethionine;Selenomethionine;DL-Selenomethionine;Butanoic acid, 2-amino-4-(methylseleno)-;SELENIUM METHIONINE;Methionine, seleno;2-amino-4-(methylselanyl)butanoic acid;Selenomethionine (van);2-amino-4-(methylseleno)butanoic acid;2-Amino-4-(methylselenyl)butyric acid;2-amino-4-methylselanylbutanoic acid;(R)-2-Amino-4-(methylselanyl)butanoic acid;Seleno-DL-methionine;DL-Selenomethionine;Seleno-D,L-methionine;(S)-2-Amino-4-(methylseleno)butyric acid;(2R)-2-amino-4-methylselanylbutanoic acid;2-amino-4-methylselanyl-butanoic acid;2-Amino-4-(methylseleno)butyric Acid;L(+)-Selenomethionine;(S)-2-Amino-4-(methylselenyl)butyric acid;2-amino-5-selenahexanoic acid;2-amino-4-(methylseleno)butanoate;2-Amino-4-(methylselenyl)butyrate;2-amino-4-(methylseleno)-butanoicaci;2-azanyl-4-methylselanyl-butanoic acid;(S)-2-Amino-4-(methylseleno)butanoate;(2S)-2-amino-4-(methylseleno)butanoate;(S)-2-amino-4-(methylseleno)-Butanoate;L-2-amino-4-(methylselenyl)-Butyric acid;(S)-2-amino-4-(methylseleno)-Butanoic acid",HMDB0003966,C05335,,
Shikimic acid,"Shikimic acid;shikimic acid;shikimate;(-)-Shikimic acid;L-Shikimic acid;(3R,4S,5R)-3,4,5-Trihydroxycyclohex-1-enecarboxylic acid;(3R,4S,5R)-3,4,5-TRIHYDROXYCYCLOHEX-1-ENE-1-CARBOXYLIC ACID;1-cyclohexene-1-carboxylic acid, 3,4,5-trihydroxy-, (3R,4S,5R)-;3alpha,4alpha,5beta-Trihydroxy-1-cyclohexene-1-carboxylic acid;Bracken fern toxic component;(3R,4S,5R)-3,4,5-trihydroxycyclohexene-1-carboxylic acid;1-Cyclohexene-1-carboxylic acid, 3,4,5-trihydroxy-, (3R-(3alpha,4alpha,5beta))-;3,4,5-Trihydroxy-1-cyclohexene-1-carboxylic acid;3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid;[3R-(3alpha,4alpha,5beta)]-3,4,5-Trihydroxy-1-cyclohexene-1-carboxylic acid;(3R,4S,5R)-(-)-3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid;3R,4S,5R-trihydroxy-1-cyclohexene-1-carboxylic acid;(4S,3R,5R)-3,4,5-trihydroxycyclohex-1-enecarboxylic acid;(-)-Shikimate;Skikimate;Shicimic Acid;L-Shikimate;1-cyclohexene-1-carboxylic acid, 3,4,5-trihydroxy-;L-(-)-SHIKIMIC ACID;(-)-3,4,5-Trihydroxy-1-cyclohexene-1-carboxylic acid;B1A53F8A-8664-405D-8370-A9785ADD2D0B;(3R,4S,5R)-(-)-3,4,5-Trihydroxy-1-cyclohexene-1-carboxylic Acid;1-Cyclohexene-1-carboxylic acid, 3,4,5-trihydroxy-, (3R-(3alpha,4alpha,5beta));Shikimic acid [3R-(3alpha,4alpha,5beta)]-3,4,5-Trihydroxy-1-cyclohexene-1-carboxylic acid",HMDB0003070,C00493,M00789,
Stigmasterol,"Stigmasterol;STIGMASTEROL;Stigmasterin;beta-Stigmasterol;(24S)-5,22-Stigmastadien-3beta-ol;Stigmasta-5,22-dien-3beta-ol;Stigmasta-5,22-dien-3-beta-ol;(3beta,22E)-Stigmasta-5,22-dien-3-ol;Stigmasta-5,22E-dien-3beta-ol;Stigmasta-5,22-dien-3-ol;5,22-Stigmastadien-3beta-ol;Serposterol;b-stigmasterol;D5-Stigmasterol;Delta5-Stigmasterol;3beta-Hydroxy-24-ethyl-5,22-cholestadiene",HMDB0000937,C05442,,
Suberic acid,"Suberic acid;Octanedioic acid;SUBERIC ACID;Cork acid;1,6-Hexanedicarboxylic acid;1,8-Octanedioic acid;Hexamethylenedicarboxylic acid;Octane-1,8-dioic acid;1,6-Dicarboxyhexane;Subericacid;19031-57-3;1,8-OCTANEDIOIC-2,2,7,7-D4 ACID;Korksaeure;Oktandisaeure;Suberinsaeure;Korksaure;Hexane-1,6-dicarboxylic acid;Kork Acid;suberic acid group;1,8-Octanedioate;Octane-1,8-dioate;Octane-1,8-dioic aid;ACMC-1AMCM;1,6-Hexanedicarboxylate;Hexamethylenedicarboxylate;Octanedioic acid Suberic acid",HMDB0000893,C08278,M01284,
Succinic acid semialdehyde,Succinic acid semialdehyde;Succinic semialdehyde;4-Oxobutanoic acid;Succinaldehydic acid;Succinic acid semialdehyde;beta-Formylpropionic acid;Á-Oxybutyric acid;3-Formylpropanoic acid;Butryaldehydic acid;3-Formylpropionic acid;4-oxo-butanoic acid;succinate semialdehyde;Succinic semialdehyde solution;4-oxo-butyric acid;4-Oxobutyric acid;semialdehyde succinique;Semi-aldehyde succinique;Butryaldehydate;Succinaldehydate;Á-Oxybutyrate;3-Formylpropanoate;4-ketobutyric acid;beta-Formylpropionate,HMDB0001259,C00232,M00804,
Theophylline,"Theophylline;theophylline;1,3-Dimethylxanthine;Elixophyllin;Theophyllin;Theolair;Nuelin;Theophylline anhydrous;Respbid;Theocin;Theo-dur;Elixophylline;Pseudotheophylline;Lanophyllin;Theovent;Uniphyl;Slo-phyllin;Accurbron;Armophylline;Bronkodyl;Doraphyllin;Liquophylline;Maphylline;Medaphyllin;Optiphyllin;Parkophyllin;Synophylate;Teofyllamin;Theacitin;Theocontin;Uniphyllin;Xantivent;Aerolate;Elixicon;Solosin;Teolair;Theobid;Theofol;Theograd;Theolix;Elixex;Acet-theocin;Slo-bid;Duraphyl;Euphylong;Sustaire;Xanthium;Austyn;Somophyllin-t;Constant-T;Teofilina;Theochron;Asmax;Quibron T/SR;Theal tablets;Somophyllin-DF;Bronkodyl SR;Theoclair-SR;Theoclear LA;Spophyllin retard;Choledyl SA;Quibron-T;1,3-dimethyl-7H-purine-2,6-dione;Theophyline;3,7-Dihydro-1,3-dimethyl-1H-purine-2,6-dione;Synophylate-L.A. Cenules;Theophylline, anhydrous;Theo-Dur-Sprinkle;Aquaphyllin;Tefamin;Theodel;Unifyl;Theona P;1,3-Dimethyl-3,7-dihydro-1H-purine-2,6-dione;LaBID;Euphylline;Elixomin;Theolixir;Theophyl;Bronkotabs;Theo-Organidin;1H-Purine-2,6-dione, 3,7-dihydro-1,3-dimethyl-;T-Phyl;Xanthine, 1,3-dimethyl-;Dimethylxanthine;Quadrinal;Theal tabl.;1,3-dimethyl-1H-purine-2,6(3H,7H)-dione;1,3-dimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione;2,6-Dihydroxy-1,3-dimethylpurine;Purine-2,6(1H,3H)-dione, 1,3-dimethyl-;Aerobin;Theodur;Theopek;Theospan;1H-Purine-2,6-dione, 3,9-dihydro-1,3-dimethyl-;1,3-Dimethylxanthine;Theo-24;Diffumal;1,3-dimethyl-1H-purine-2,6(3H,9H)-dione;Theophylline melting point standard;1,3-Dimethyl-2,6-dioxo-1,2,3,6-tetrahydropurine;Mudrane;Pulmidur;Teonova;Theokin;Hylate;Bronchodid Duracap;1,3-dimethyl-1,3,7-trihydropurine-2,6-dione;Uniphyllin continus;1,3-dimethyl-3,9-dihydro-1H-purine-2,6-dione;Telbans;Physpa;theophylline solu-tion;component of Primatene;Xanthine,3-dimethyl-;8-(2-Furyl)theophylline;component of Theo-Organidin;Purine-2,3H)-dione, 1,3-dimethyl-;Purine,6(1H,3H)-dione, 1,3-dimethyl-;1H-Purine-2, 3,7-dihydro-1,3-dimethyl-",HMDB0001889,C07130,M01398,
Thyroxine,"Thyroxine;L-thyroxine;levothyroxine;thyroxine;thyroxin;Tetraiodothyronine;Thyrax;synthroid;Thyratabs;Thyreoideum;Thyroxinal;Thyroxine iodine;Levothyroxin;(-)-Thyroxine;L-Thyroxin;3,5,3',5'-Tetraiodo-L-thyronine;Thyroxine (l);Levothyroxine sodium;DL-Thyroxin;O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-L-tyrosine;Thyroxine (VAN);3,5,3',5'-Tetraiodothyronine;Laevothyroxinum;T4 (Hormone);L-3,5,3',5'-Tetraiodothyronine;Tetramet;Levothyroxinum;3,3',5,5''-Tetraiodo-L-thyronine;Henning;3,5,3'5'-Tetraiodo-L-thyronine;L-Tyrosine, O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-;4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodo-L-phenylalanine;O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine;(S)-2-amino-3-(4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl)propanoic acid;3-(4-(4-Hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl)alanine;beta-((3,5-Diiodo-4-hydroxyphenoxy)-3,5-diiodophenyl)alanine;3-[4-(4-Hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]-L-alanine;O-(4-Hydroxy-3,5-diiodophenyl)-3,5-diiodotyrosine;(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid;Eutirox;Tyrosine, O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-;L-Tyrosine,;L-Thyroxine, free acid;(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodo-phenoxy)-3,5-diiodo-phenyl]propanoic acid;2-amino-3-[4-(4-hydroxy-3,5-diiodo-phenoxy)-3,5-diiodo-phenyl]-propanoic acid;3,3'',5,5''-tetraiodo-L-thyronine;3,5,3'',5''-tetraiodo-L-thyronine;O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-;UNII-QR0BV3BRIA component XUIIKFGFIJCVMT-LBPRGKRZSA-N",HMDB0000248,C01829,,
